,id,id_x,value,title,unit,id_y,Aggregationmethod,Generalcomments,IndicatorName,License_Type,License_URL,Longdefinition,Periodicity,Source,Topic,Developmentrelevance,Limitationsandexceptions,Statisticalconceptandmethodology,Shortdefinition,BasePeriod,Notesfromoriginalsource,Dataset
10,IC.IMP.CSDC.CD,IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)","Cost to import, documentary compliance",US$,IC.IMP.CSDC.CD,Unweighted average,"Insurance cost and informal payments for which no receipt is issued are excluded from the costs recorded. Costs are reported in U.S. dollars. Contributors are asked to convert local currency into U.S. dollars based on the exchange rate prevailing on the day they answer the questionnaire. Contributors are private sector experts in international trade logistics and are informed about exchange rates and their movements.

Data are presented for the survey year instead of publication year.","Cost to import, documentary compliance (US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study.",Annual,"World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Trade facilitation,,,"The time and cost for documentary compliance include the time and cost for obtaining documents (such as time spent to get the document issued and stamped); preparing documents (such as time spent gathering information to complete the customs declaration or certificate of origin); processing documents (such as time spent waiting for the relevant authority to issue a phytosanitary certificate); presenting documents (such as time spent showing a port terminal receipt to port authorities); and submitting documents (such as time spent submitting a customs declaration to the customs agency in person or electronically).

All electronic or paper submissions of information requested by any government agency in connection with the shipment are considered to be documents obtained, prepared and submitted during the export or import process. All documents prepared by the freight forwarder or customs broker for the product and partner pair assumed in the case study are included regardless of whether they are required by law or in practice. Any documents prepared and submitted so as to get access to preferential treatment— for example, a certificate of origin—are included in the calculation of the time and cost for documentary compliance. Any documents prepared and submitted because of a perception that they ease the passage of the shipment are also included (for example, freight forwarders may prepare a packing list because in their experience this reduces the probability of physical or other intrusive inspections).

In addition, any documents that are mandatory for exporting or importing are included in the calculation of time and cost. Documents that need to be obtained only once are not counted, however. And Doing Business does not include documents needed to produce and sell in the domestic market—such as certificates of third-party safety standards testing that may be required to sell toys domestically—unless a government agency needs to see these documents during the export process.",,,,
11,GC.TAX.IMPT.ZS,GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue),Customs and other import duties,% of tax revenue,GC.TAX.IMPT.ZS,,,Customs and other import duties (% of tax revenue),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.,Annual,"International Monetary Fund, Government Finance Statistics Yearbook and data files.",Public Sector: Government finance: Revenue,,"For most countries central government finance data have been consolidated into one account, but for others only budgetary central government accounts are available. Countries reporting budgetary data are noted in the country metadata. Because budgetary accounts may not include all central government units (such as social security funds), they usually provide an incomplete picture. In federal states the central government accounts provide an incomplete view of total public finance.

Data on government revenue and expense are collected by the IMF through questionnaires to member countries and by the Organisation for Economic Co-operation and Development (OECD). Despite IMF efforts to standardize data collection, statistics are often incomplete, untimely, and not comparable across countries.","The IMF's Government Finance Statistics Manual 2014, harmonized with the 2008 SNA, recommends an accrual accounting method, focusing on all economic events affecting assets, liabilities, revenues, and expenses, not just those represented by cash transactions. It accounts for all changes in stocks, so stock data at the end of an accounting period equal stock data at the beginning of the period plus flows over the period. The 1986 manual considered only debt stocks.

Government finance statistics are reported in local currency. Many countries report government finance data by fiscal year; see country metadata for information on fiscal year end by country.",,,,
12,EG.IMP.CONS.ZS,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)","Energy imports, net",% of energy use,EG.IMP.CONS.ZS,Weighted average,Restricted use: Please contact the International Energy Agency for third-party use of these data.,"Energy imports, net (% of energy use)",Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,"Net energy imports are estimated as energy use less production, both measured in oil equivalents. A negative value indicates that the country is a net exporter. Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",Environment: Energy production & use,"Modern energy services are crucial to a country's economic development. Access to modern energy is essential for the provision of clean water, sanitation and healthcare and for the provision of reliable and efficient lighting, heating, cooking, mechanical power, and transport and telecommunications services.

Governments in many countries are increasingly aware of the urgent need to make better use of the world's energy resources. Improved energy efficiency is often the most economic and readily available means of improving energy security and reducing greenhouse gas emissions.","The IEA makes these estimates in consultation with national statistical offices, oil companies, electric utilities, and national energy experts. The IEA occasionally revises its time series to reflect political changes, and energy statistics undergo continual changes in coverage or methodology as more detailed energy accounts become available. Breaks in series are therefore unavoidable.","Energy data are compiled by the International Energy Agency (IEA). IEA data for economies that are not members of the Organisation for Economic Co-operation and Development (OECD) are based on national energy data adjusted to conform to annual questionnaires completed by OECD member governments.

A negative value in energy imports indicates that the country is a net exporter. Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",,,,
13,NY.EXP.CAPM.KN,NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU),Exports as a capacity to import,constant LCU,NY.EXP.CAPM.KN,,,Exports as a capacity to import (constant LCU),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Exports as a capacity to import equals the current price value of exports of goods and services deflated by the import price index. Data are in constant local currency.,Annual,"World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: Local currency at constant prices: Other items,,,,,varies by country,,
14,NE.EXP.GNFS.KD,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$),Exports of goods and services,constant 2015 US$,NE.EXP.GNFS.KD,Gap-filled total,,Exports of goods and services (constant 2015 US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Exports of goods and services represent the value of all goods and other market services provided to the rest of the world. They include the value of merchandise, freight, insurance, transport, travel, royalties, license fees, and other services, such as communication, construction, financial, information, business, personal, and government services. They exclude compensation of employees and investment income (formerly called factor services) and transfer payments. Data are in constant 2015 prices, expressed in U.S. dollars.",Annual,"World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,"An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Because policymakers have tended to focus on fostering the growth of output, and because data on production are easier to collect than data on spending, many countries generate their primary estimate of GDP using the production approach. Moreover, many countries do not estimate all the components of national expenditures but instead derive some of the main aggregates indirectly using GDP (based on the production approach) as the control total.

Data on exports and imports are compiled from customs reports and balance of payments data. Although the data from the payments side provide reasonably reliable records of cross-border transactions, they may not adhere strictly to the appropriate definitions of valuation and timing used in the balance of payments or corresponds to the change-of ownership criterion. This issue has assumed greater significance with the increasing globalization of international business. Neither customs nor balance of payments data usually capture the illegal transactions that occur in many countries. Goods carried by travelers across borders in legal but unreported shuttle trade may further distort trade statistics.","Gross domestic product (GDP) from the expenditure side is made up of household final consumption expenditure, general government final consumption expenditure, gross capital formation (private and public investment in fixed assets, changes in inventories, and net acquisitions of valuables), and net exports (exports minus imports) of goods and services. Such expenditures are recorded in purchaser prices and include net taxes on products.",,2015,,
15,BX.GSR.TOTL.CD,BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)","Exports of goods, services and primary income","BoP, current US$",BX.GSR.TOTL.CD,Gap-filled total,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"Exports of goods, services and primary income (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Exports of goods, services and primary income is the sum of goods exports, service exports and primary income receipts. Data are in current U.S. dollars.",Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,,,,
16,TX.VAL.FOOD.ZS.UN,TX.VAL.FOOD.ZS.UN,Food exports (% of merchandise exports),Food exports,% of merchandise exports,TX.VAL.FOOD.ZS.UN,Weighted average,Merchandise export shares may not sum to 100 percent because of unclassified trade.,Food exports (% of merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Exports,,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,,,,
17,TM.VAL.FOOD.ZS.UN,TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports),Food imports,% of merchandise imports,TM.VAL.FOOD.ZS.UN,Weighted average,Merchandise import shares may not sum to 100 percent because of unclassified trade.,Food imports (% of merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,,,,
18,TM.VAL.FUEL.ZS.UN,TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports),Fuel imports,% of merchandise imports,TM.VAL.FUEL.ZS.UN,Weighted average,Merchandise import shares may not sum to 100 percent because of unclassified trade.,Fuel imports (% of merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,,,,
19,BX.GSR.MRCH.CD,BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)",Goods exports,"BoP, current US$",BX.GSR.MRCH.CD,Gap-filled total,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards. Merchanting is reclassified from services to goods.,"Goods exports (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Goods exports refer to all movable goods (including nonmonetary gold and net exports of goods under merchanting) involved in a change of ownership from residents to nonresidents. Data are in current U.S. dollars.,Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,,,,
20,BM.GSR.MRCH.CD,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",Goods imports,"BoP, current US$",BM.GSR.MRCH.CD,Gap-filled total,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"Goods imports (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. Data are in current U.S. dollars.,Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,,,,
