,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,Generalcomments,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,BasePeriod,Shortdefinition
10,SI.RMT.COST.OB.ZS,SI.RMT.COST.OB.ZS,Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances from a specific country,%,SI.RMT.COST.OB.ZS,,"Reducing the cost of remittance transactions has a direct impact on development by freeing additional resources that, instead of being paid as transaction cost, will remain with the senders and receivers of the flows. Remittance cost is highlighted in Sustainable Development Goal 10. Target 10.c calls for reducing to less than 3 percent the transaction costs of migrant remittances and ensure that in no corridor remittance senders are required to pay more than 5 percent by 2030.",,Average transaction cost of sending remittances from a specific country (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Remittance service providers (RSPs) are excluded when they do not disclose the exchange rate applied to the transaction.,Average transaction cost of sending remittance from a specific country is the average of the total transaction cost in percentage of the amount sent for sending USD 200 charged by each single remittance service provider (RSP) included in the Remittance Prices Worldwide (RPW) database from a specific country.,Quarterly (represented as Annual),"World Bank, Remittance Prices Worldwide, available at http://remittanceprices.worldbank.org","The World Bank calculates and tracks the global average cost for sending remittances following each iteration of Remittance Prices Worldwide (RPW). This is intended to provide a tool to track the trend of remittance prices by various policy makers, including measuring progress towards the commitment by the G8 member countries to reduce the cost of remittances by five percentage points over five years (the “5x5 Objective”), as well as the commitment by the G20 member countries to also reduce the global average to 5 percent. The Global Average Total Cost is calculated as the average total cost for sending USD 200 with all remittance service providers (RSPs) worldwide. In other terms, the global average total cost is the simple average of the total cost for sending USD 200 charged by each single RSP included in the RPW database, expressed as the percentage of the amount sent. The regional and national average total costs are calculated using the same methodology used to calculate the Global Average Total Cost. These represent the simple average total cost for sending USD 200 with every single RSP from a specific region of the world (regional), or from a specific country (national). The same applies to other averages such as the G8 average, which calculates the average cost of sending USD 200 from the G8 member countries, or the bank average, which represent the average cost of sending USD 200 with a bank worldwide. The reference years reflect third quarter data here; for example, data for 2016 refers to data in the third quarter of the year. For all quarterly data, visit http://remittanceprices.worldbank.org.",Financial Sector: Access,,
11,SI.RMT.COST.IB.ZS,SI.RMT.COST.IB.ZS,Average transaction cost of sending remittances to a specific country (%),Average transaction cost of sending remittances to a specific country,%,SI.RMT.COST.IB.ZS,,"Reducing the cost of remittance transactions has a direct impact on development by freeing additional resources that, instead of being paid as transaction cost, will remain with the senders and receivers of the flows. Remittance cost is highlighted in Sustainable Development Goal 10. Target 10.c calls for reducing to less than 3 percent the transaction costs of migrant remittances and ensure that in no corridor remittance senders are required to pay more than 5 percent by 2030.",,Average transaction cost of sending remittances to a specific country (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Remittance service providers (RSPs) are excluded when they do not disclose the exchange rate applied to the transaction,Average transaction cost of sending remittance to a specific country is the average of the total transaction cost in percentage of the amount sent for sending USD 200 charged by each single remittance service provider (RSP) included in the Remittance Prices Worldwide (RPW) database to a specific country.,Quarterly (represented as Annual),"World Bank, Remittance Prices Worldwide, available at http://remittanceprices.worldbank.org","The World Bank calculates and tracks the global average cost for sending remittances following each iteration of Remittance Prices Worldwide (RPW). This is intended to provide a tool to track the trend of remittance prices by various policy makers, including measuring progress towards the commitment by the G8 member countries to reduce the cost of remittances by five percentage points over five years (the “5x5 Objective”), as well as the commitment by the G20 member countries to also reduce the global average to 5 percent. The Global Average Total Cost is calculated as the average total cost for sending USD 200 with all remittance service providers (RSPs) worldwide. In other terms, the global average total cost is the simple average of the total cost for sending USD 200 charged by each single RSP included in the RPW database, expressed as the percentage of the amount sent. The regional and national average total costs are calculated using the same methodology used to calculate the Global Average Total Cost. These represent the simple average total cost for sending USD 200 with every single RSP to a specific region of the world (regional), or to a specific country (national). The reference years reflect third quarter data here; for example, data for 2016 refers to data in the third quarter of the year. For all quarterly data, visit http://remittanceprices.worldbank.org.",Financial Sector: Access,,
12,FB.BNK.CAPA.ZS,FB.BNK.CAPA.ZS,Bank capital to assets ratio (%),Bank capital to assets ratio,%,FB.BNK.CAPA.ZS,,"The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. The ratio of bank capital to assets, a measure of bank solvency and resiliency, shows the extent to which banks can deal with unexpected losses. Capital includes tier 1 capital (paid-up shares and common stock), a common feature in all countries' banking systems, and total regulatory capital, which includes several types of subordinated debt instruments that need not be repaid if the funds are required to maintain minimum capital levels (tier 2 and tier 3 capital). Total assets include all nonfinancial and financial assets. Data are from internally consistent financial statements.",,Bank capital to assets ratio (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Reporting countries compile the data using different methodologies, which may also vary for different points in time for the same country. Users are advised to consult the accompanying metadata on the IMF FSI website (data.imf.org) to conduct more meaningful cross-country comparisons or to assess the evolution of the indicator for any of the countries.","Bank capital to assets is the ratio of bank capital and reserves to total assets. Capital and reserves include funds contributed by owners, retained earnings, general and special reserves, provisions, and valuation adjustments. Capital includes tier 1 capital (paid-up shares and common stock), which is a common feature in all countries' banking systems, and total regulatory capital, which includes several specified types of subordinated debt instruments that need not be repaid if the funds are required to maintain minimum capital levels (these comprise tier 2 and tier 3 capital). Total assets include all nonfinancial and financial assets.",Annual,"International Monetary Fund, Financial Soundness Indicators.","The ratio of capital to total assets, without the latter being risk weighted. Capital is measured as total capital and reserves as reported in the sectoral balance sheet; for cross-border consolidated data, Tier 1 capital can also be used. It indicates the extent to which assets are funded by other than own funds and is a measure of capital adequacy of the deposit-taking sector. It complements the capital adequacy ratios compiled based on the methodology agreed to by the Basle Committee on Banking Supervision. Also, it measures financial leverage and is sometimes called the leverage ratio. Data are submitted by national authorities to the IMF following the Financial Soundness Indicators (FSI) Compilation Guide. For country specific metadata, including reporting period, please refer to the GFSR FSI Tables and the Data and Metadata Tables available through FSIs website: http://data.imf.org/.",Financial Sector: Assets,,
13,FD.RES.LIQU.AS.ZS,FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%),Bank liquid reserves to bank assets ratio,%,FD.RES.LIQU.AS.ZS,Median,,,Bank liquid reserves to bank assets ratio (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Ratio of bank liquid reserves to bank assets is the ratio of domestic currency holdings and deposits with the monetary authorities to claims on other governments, nonfinancial public enterprises, the private sector, and other banking institutions.",Annual,"International Monetary Fund, International Financial Statistics and data files.",,Financial Sector: Assets,,
14,FB.AST.NPER.ZS,FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%),Bank nonperforming loans to total gross loans,%,FB.AST.NPER.ZS,,"The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. The ratio of bank nonperforming loans to total gross loans measures bank health and efficiency by identifying problems with asset quality in the loan portfolio. A high ratio may signal deterioration of the credit portfolio.",,Bank nonperforming loans to total gross loans (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Reporting countries compile the data using different methodologies, which may also vary for different points in time for the same country. Users are advised to consult the accompanying metadata on the IMF FSI website (data.imf.org) to conduct more meaningful cross-country comparisons or to assess the evolution of the indicator for any of the countries.","Bank nonperforming loans to total gross loans are the value of nonperforming loans divided by the total value of the loan portfolio (including nonperforming loans before the deduction of specific loan-loss provisions). The loan amount recorded as nonperforming should be the gross value of the loan as recorded on the balance sheet, not just the amount that is overdue.",Annual,"International Monetary Fund, Financial Soundness Indicators.","The ratio of bank nonperforming loans to total gross loans is the value of nonperforming loans (gross value of the loan as recorded on the balance sheet) divided by the total value of the loan portfolio (including nonperforming loans before the deduction of loan loss provisions). It measures bank health and efficiency by identifying problems with asset quality in the loan portfolio. International guidelines recommend that loans be classified as nonperforming when payments of principal and interest are 90 days or more past due or when future payments are not expected to be received in full. Data are submitted by national authorities to the IMF following the Financial Soundness Indicators (FSI) Compilation Guide. For country specific metadata, including reporting period, please refer to the GFSR FSI Tables and the Data and Metadata Tables available through FSIs website: http://data.imf.org/.",Financial Sector: Assets,,
15,FB.CBK.BRWR.P3,FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)",Borrowers from commercial banks,"per 1,000 adults",FB.CBK.BRWR.P3,Median,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.",Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,"Borrowers from commercial banks (per 1,000 adults)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"For several countries, data cover all borrowers including commercial banks, credit unions and financial cooperatives, deposit taking microfinance institutions, and other deposit takers. These include all resident financial corporations and quasi-corporations (except the central bank) that are mainly engaged in financial intermediation and that issue liabilities included in the national definition of broad money. These institutions have varying names in different countries, such as savings and loan associations, building societies, rural banks and agricultural banks, post office giro institutions, post office savings banks, savings banks, and money market funds.",Borrowers from commercial banks are the reported number of resident customers that are nonfinancial corporations (public and private) and households who obtained loans from commercial banks and other banks functioning as commercial banks. For many countries data cover the total number of loan accounts due to lack of information on loan account holders.,Annual,"International Monetary Fund, Financial Access Survey.","Borrowers from commercial banks denotes the total number of resident customers that are nonfinancial corporations (public and private) and households who obtained loans from commercial banks for every 1,000 adults in the reporting country. It is calculated as (number of borrowers)*1,000/adult population in the reporting country.",Financial Sector: Access,,
16,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP),Broad money,% of GDP,FM.LBL.BMNY.GD.ZS,Weighted average,,The derivation of this indicator was simplified in September 2012 to be current-year broad money divided by current-year GDP times 100.,Broad money (% of GDP),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.",Annual,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",,Financial Sector: Monetary holdings (liabilities),,
17,FM.LBL.BMNY.CN,FM.LBL.BMNY.CN,Broad money (current LCU),Broad money,current LCU,FM.LBL.BMNY.CN,,,,Broad money (current LCU),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.",Annual,"International Monetary Fund, International Financial Statistics and data files.",,Financial Sector: Monetary holdings (liabilities),,
18,FM.LBL.BMNY.ZG,FM.LBL.BMNY.ZG,Broad money growth (annual %),Broad money growth,annual %,FM.LBL.BMNY.ZG,,,,Broad money growth (annual %),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Monetary accounts are derived from the balance sheets of financial institutions - the central bank, commercial banks, and nonbank financial intermediaries. Although these balance sheets are usually reliable, they are subject to errors of classification, valuation, and timing and to differences in accounting practices. For example, whether interest income is recorded on an accrual or a cash basis can make a substantial difference, as can the treatment of nonperforming assets. Valuation errors typically arise for foreign exchange transactions, particularly in countries with flexible exchange rates or in countries that have undergone currency devaluation during the reporting period. The valuation of financial derivatives and the net liabilities of the banking system can also be difficult. The quality of commercial bank reporting also may be adversely affected by delays in reports from bank branches, especially in countries where branch accounts are not computerized. Thus the data in the balance sheets of commercial banks may be based on preliminary estimates subject to constant revision. This problem is likely to be even more serious for nonbank financial intermediaries.","Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.",Annual,"International Monetary Fund, International Financial Statistics and data files.","Money and the financial accounts that record the supply of money lie at the heart of a country’s financial system. There are several commonly used definitions of the money supply. The narrowest, M1, encompasses currency held by the public and demand deposits with banks. M2 includes M1 plus time and savings deposits with banks that require prior notice for withdrawal. M3 includes M2 as well as various money market instruments, such as certificates of deposit issued by banks, bank deposits denominated in foreign currency, and deposits with financial institutions other than banks. However defined, money is a liability of the banking system, distinguished from other bank liabilities by the special role it plays as a medium of exchange, a unit of account, and a store of value.",Financial Sector: Monetary holdings (liabilities),,
19,FM.LBL.BMNY.IR.ZS,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio,Broad money to total reserves ratio,,FM.LBL.BMNY.IR.ZS,,,,Broad money to total reserves ratio,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.",Annual,"International Monetary Fund, International Financial Statistics and data files.",,Financial Sector: Monetary holdings (liabilities),,
20,FM.AST.CGOV.ZG.M3,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money),Claims on central government,annual growth as % of broad money,FM.AST.CGOV.ZG.M3,,,,Claims on central government (annual growth as % of broad money),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Monetary accounts are derived from the balance sheets of financial institutions - the central bank, commercial banks, and nonbank financial intermediaries. Although these balance sheets are usually reliable, they are subject to errors of classification, valuation, and timing and to differences in accounting practices. For example, whether interest income is recorded on an accrual or a cash basis can make a substantial difference, as can the treatment of nonperforming assets. Valuation errors typically arise for foreign exchange transactions, particularly in countries with flexible exchange rates or in countries that have undergone currency devaluation during the reporting period. The valuation of financial derivatives and the net liabilities of the banking system can also be difficult. The quality of commercial bank reporting also may be adversely affected by delays in reports from bank branches, especially in countries where branch accounts are not computerized. Thus the data in the balance sheets of commercial banks may be based on preliminary estimates subject to constant revision. This problem is likely to be even more serious for nonbank financial intermediaries.",Claims on central government (IFS line 32AN..ZK) include loans to central government institutions net of deposits.,Annual,"International Monetary Fund, International Financial Statistics and data files.","The banking system's assets include its net foreign assets and net domestic credit. Net domestic credit includes credit extended to the private sector and general government and credit extended to the nonfinancial public sector in the form of investments in short- and long-term government securities and loans to state enterprises; liabilities to the public and private sectors in the form of deposits with the banking system are netted out. Net domestic credit also includes credit to banking and nonbank financial institutions.

Domestic credit is the main vehicle through which changes in the money supply are regulated, with central bank lending to the government often playing the most important role. The central bank can regulate lending to the private sector in several ways - for example, by adjusting the cost of the refinancing facilities it provides to banks, by changing market interest rates through open market operations, or by controlling the availability of credit through changes in the reserve requirements imposed on banks and ceilings on the credit provided by banks to the private sector.",Financial Sector: Assets,,
21,FS.AST.CGOV.GD.ZS,FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)","Claims on central government, etc.",% GDP,FS.AST.CGOV.GD.ZS,Weighted average,,,"Claims on central government, etc. (% GDP)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Claims on central government (IFS line 52AN or 32AN) include loans to central government institutions net of deposits.,Annual,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",,Financial Sector: Assets,,
22,FS.AST.DOMO.GD.ZS,FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP),Claims on other sectors of the domestic economy,% of GDP,FS.AST.DOMO.GD.ZS,Weighted average,,,Claims on other sectors of the domestic economy (% of GDP),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Claims on other sectors of the domestic economy (IFS line 52S or 32S) include gross credit from the financial system to households, nonprofit institutions serving households, nonfinancial corporations, state and local governments, and social security funds.",Annual,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",,Financial Sector: Assets,,
23,FM.AST.DOMO.ZG.M3,FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money),Claims on other sectors of the domestic economy,annual growth as % of broad money,FM.AST.DOMO.ZG.M3,,,,Claims on other sectors of the domestic economy (annual growth as % of broad money),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Monetary accounts are derived from the balance sheets of financial institutions - the central bank, commercial banks, and nonbank financial intermediaries. Although these balance sheets are usually reliable, they are subject to errors of classification, valuation, and timing and to differences in accounting practices. For example, whether interest income is recorded on an accrual or a cash basis can make a substantial difference, as can the treatment of nonperforming assets. Valuation errors typically arise for foreign exchange transactions, particularly in countries with flexible exchange rates or in countries that have undergone currency devaluation during the reporting period. The valuation of financial derivatives and the net liabilities of the banking system can also be difficult. The quality of commercial bank reporting also may be adversely affected by delays in reports from bank branches, especially in countries where branch accounts are not computerized. Thus the data in the balance sheets of commercial banks may be based on preliminary estimates subject to constant revision. This problem is likely to be even more serious for nonbank financial intermediaries.","Claims on other sectors of the domestic economy (IFS line 32S..ZK) include gross credit from the financial system to households, nonprofit institutions serving households, nonfinancial corporations, state and local governments, and social security funds.",Annual,"International Monetary Fund, International Financial Statistics and data files.","The banking system's assets include its net foreign assets and net domestic credit. Net domestic credit includes credit extended to the private sector and general government and credit extended to the nonfinancial public sector in the form of investments in short- and long-term government securities and loans to state enterprises; liabilities to the public and private sectors in the form of deposits with the banking system are netted out. Net domestic credit also includes credit to banking and nonbank financial institutions.

Domestic credit is the main vehicle through which changes in the money supply are regulated, with central bank lending to the government often playing the most important role. The central bank can regulate lending to the private sector in several ways - for example, by adjusting the cost of the refinancing facilities it provides to banks, by changing market interest rates through open market operations, or by controlling the availability of credit through changes in the reserve requirements imposed on banks and ceilings on the credit provided by banks to the private sector.",Financial Sector: Assets,,
24,FM.AST.PRVT.ZG.M3,FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money),Claims on private sector,annual growth as % of broad money,FM.AST.PRVT.ZG.M3,,,,Claims on private sector (annual growth as % of broad money),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Claims on private sector (IFS line 32D..ZK or 32D..ZF) include gross credit from the financial system to individuals, enterprises, nonfinancial public entities not included under net domestic credit, and financial institutions not included elsewhere.",Annual,"International Monetary Fund, International Financial Statistics and data files.",,Financial Sector: Assets,,
