,id,id_x,value,title,unit,id_y,Aggregationmethod,Generalcomments,IndicatorName,License_Type,License_URL,Longdefinition,Periodicity,Source,Topic,Developmentrelevance,Limitationsandexceptions,Statisticalconceptandmethodology,Dataset,Shortdefinition
10,DT.DOD.DSTC.CD,DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)","External debt stocks, short-term","DOD, current US$",DT.DOD.DSTC.CD,Sum,,"External debt stocks, short-term (DOD, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.,Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,"External indebtedness affects a country's creditworthiness and investor perceptions. Nonreporting countries might have outstanding debt with the World Bank, other international financial institutions, or private creditors. Total debt service is contrasted with countries' ability to obtain foreign exchange through exports of goods, services, primary income, and workers' remittances.

Debt ratios are used to assess the sustainability of a country's debt service obligations, but no absolute rules determine what values are too high. Empirical analysis of developing countries' experience and debt service performance shows that debt service difficulties become increasingly likely when the present value of debt reaches 200 percent of exports. Still, what constitutes a sustainable debt burden varies by country. Countries with fast-growing economies and exports are likely to be able to sustain higher debt levels.",,"Data on external debt are gathered through the World Bank's Debtor Reporting System (DRS). Long term debt data are compiled using the countries report on public and publicly guaranteed borrowing on a loan-by-loan basis and private non guaranteed borrowing on an aggregate basis. These data are supplemented by information from major multilateral banks and official lending agencies in major creditor countries. Short-term debt data are gathered from the Quarterly External Debt Statistics (QEDS) database, jointly developed by the World Bank and the IMF and from creditors through the reporting systems of the Bank for International Settlements. Debt data are reported in the currency of repayment and compiled and published in U.S. dollars. End-of-period exchange rates are used for the compilation of stock figures (amount of debt outstanding), and projected debt service and annual average exchange rates are used for the flows. Exchange rates are taken from the IMF's International Financial Statistics. Debt repayable in multiple currencies, goods, or services and debt with a provision for maintenance of the value of the currency of repayment are shown at book value.",International Debt Statistics,Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.
11,DT.DOD.DECT.CD,DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)","External debt stocks, total","DOD, current US$",DT.DOD.DECT.CD,Sum,,"External debt stocks, total (DOD, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,"External indebtedness affects a country's creditworthiness and investor perceptions. Nonreporting countries might have outstanding debt with the World Bank, other international financial institutions, or private creditors. Total debt service is contrasted with countries' ability to obtain foreign exchange through exports of goods, services, primary income, and workers' remittances.

Debt ratios are used to assess the sustainability of a country's debt service obligations, but no absolute rules determine what values are too high. Empirical analysis of developing countries' experience and debt service performance shows that debt service difficulties become increasingly likely when the present value of debt reaches 200 percent of exports. Still, what constitutes a sustainable debt burden varies by country. Countries with fast-growing economies and exports are likely to be able to sustain higher debt levels.",,"Data on external debt are gathered through the World Bank's Debtor Reporting System (DRS). Long term debt data are compiled using the countries report on public and publicly guaranteed borrowing on a loan-by-loan basis and private non guaranteed borrowing on an aggregate basis. These data are supplemented by information from major multilateral banks and official lending agencies in major creditor countries. Short-term debt data are gathered from the Quarterly External Debt Statistics (QEDS) database, jointly developed by the World Bank and the IMF and from creditors through the reporting systems of the Bank for International Settlements. Debt data are reported in the currency of repayment and compiled and published in U.S. dollars. End-of-period exchange rates are used for the compilation of stock figures (amount of debt outstanding), and projected debt service and annual average exchange rates are used for the flows. Exchange rates are taken from the IMF's International Financial Statistics. Debt repayable in multiple currencies, goods, or services and debt with a provision for maintenance of the value of the currency of repayment are shown at book value.",International Debt Statistics,"Total external debt is debt owed to nonresidents repayable in currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, short-term debt, and use of IMF credit. Data are in current U.S. dollars."
12,BX.KLT.DINV.CD.WD,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net inflows","BoP, current US$",BX.KLT.DINV.CD.WD,Sum,Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,"Foreign direct investment, net inflows (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Foreign direct investment refers to direct investment equity flows in the reporting economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. Data are in current U.S. dollars.",Annual,"International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.",Economic Policy & Debt: Balance of payments: Capital & financial account,"Private financial flows - equity and debt - account for the bulk of development finance. Equity flows comprise foreign direct investment (FDI) and portfolio equity. Debt flows are financing raised through bond issuance, bank lending, and supplier credits.","FDI data do not give a complete picture of international investment in an economy. Balance of payments data on FDI do not include capital raised locally, an important source of investment financing in some developing countries. In addition, FDI data omit nonequity cross-border transactions such as intra-unit flows of goods and services.

The volume of global private financial flows reported by the World Bank generally differs from that reported by other sources because of differences in sources, classification of economies, and method used to adjust and disaggregate reported information. In addition, particularly for debt financing, differences may also reflect how some installments of the transactions and certain offshore issuances are treated.

Data on equity flows are shown for all countries for which data are available.","Data on equity flows are based on balance of payments data reported by the International Monetary Fund (IMF). Foreign direct investment (FDI) data are supplemented by the World Bank staff estimates using data from the United Nations Conference on Trade and Development (UNCTAD) and official national sources.

The internationally accepted definition of FDI (from the sixth edition of the IMF's Balance of Payments Manual [2009]), includes the following components: equity investment, including investment associated with equity that gives rise to control or influence; investment in indirectly influenced or controlled enterprises; investment in fellow enterprises; debt (except selected debt); and reverse investment. The Framework for Direct Investment Relationships provides criteria for determining whether cross-border ownership results in a direct investment relationship, based on control and influence. Distinguished from other kinds of international investment, FDI is made to establish a lasting interest in or effective management control over an enterprise in another country. A lasting interest in an investment enterprise typically involves establishing warehouses, manufacturing facilities, and other permanent or long-term organizations abroad. Direct investments may take the form of greenfield investment, where the investor starts a new venture in a foreign country by constructing new operational facilities; joint venture, where the investor enters into a partnership agreement with a company abroad to establish a new enterprise; or merger and acquisition, where the investor acquires an existing enterprise abroad. The IMF suggests that investments should account for at least 10 percent of voting stock to be counted as FDI. In practice many countries set a higher threshold. Many countries fail to report reinvested earnings, and the definition of long-term loans differs among countries. BoP refers to Balance of Payments.",,
13,NY.GNP.MKTP.CD,NY.GNP.MKTP.CD,GNI (current US$),GNI,current US$,NY.GNP.MKTP.CD,Gap-filled total,,GNI (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. Data are in current U.S. dollars.,Annual,"World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,"Because development encompasses many factors - economic, environmental, cultural, educational, and institutional - no single measure gives a complete picture. However, the total earnings of the residents of an economy, measured by its gross national income (GNI), is a good measure of its capacity to provide for the well-being of its people.",,,,
14,BX.GRT.EXTA.CD.WD,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)","Grants, excluding technical cooperation","BoP, current US$",BX.GRT.EXTA.CD.WD,Sum,,"Grants, excluding technical cooperation (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.,Annual,"World Bank, International Debt Statistics, and OECD.",Economic Policy & Debt: Balance of payments: Reserves & other items,"DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

OECD's IDS database provides a set of readily available basic data that enables analysis on where aid goes, what purposes it serves and what policies it aims to implement, on a comparable basis for all DAC members. The aid data is most commonly used to analyze the sectoral and geographical breakdown of aid for selected years and donors or groups of donors. The data can also be used to target specific policy issues (e.g. tying status of aid) and monitor donors' compliance with various international recommendations in the field of development co-operation.","Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors (such as Saudi Arabia) are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.","Grants are transfers made in cash, goods or services for which no repayment is required. Data excludes technical cooperation grants. The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on reporting by DAC members using standard questionnaires issued by the DAC Secretariat. A network of statistical correspondents collects data from aid agencies and government departments (central, state and local) on an ongoing basis. Their task is also to ensure that reporting conforms to the Reporting Directives (definitions and classifications) agreed by the DAC.

The official development assistance (ODA) estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database. Data are in current U.S. dollars.",,
15,DT.DOD.MWBG.CD,DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",IBRD loans and IDA credits,"DOD, current US$",DT.DOD.MWBG.CD,Sum,,"IBRD loans and IDA credits (DOD, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,IBRD loans and IDA credits are public and publicly guaranteed debt extended by the World Bank Group. The International Bank for Reconstruction and Development (IBRD) lends at market rates. Credits from the International Development Association (IDA) are at concessional rates. Data are in current U.S. dollars.,Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,,
16,DT.NFL.NIFC.CD,DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)","IFC, private nonguaranteed","NFL, current US$",DT.NFL.NIFC.CD,Sum,,"IFC, private nonguaranteed (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Nonguaranteed long-term debt privately placed from the International Finance Corporation (IFC). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,,International Debt Statistics,Nonguaranteed long-term debt privately placed from the International Finance Corporation (IFC). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.
17,DT.TDS.DIMF.CD,DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)",IMF repurchases and charges,"TDS, current US$",DT.TDS.DIMF.CD,Sum,,"IMF repurchases and charges (TDS, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"IMF repurchases are total repayments of outstanding drawings from the General Resources Account during the year specified, excluding repayments due in the reserve tranche. IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,,,,International Debt Statistics,"IMF repurchases are total repayments of outstanding drawings from the General Resources Account during the year specified, excluding repayments due in the reserve tranche. IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars."
18,BM.GSR.TOTL.CD,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)","Imports of goods, services and primary income","BoP, current US$",BM.GSR.TOTL.CD,Gap-filled total,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"Imports of goods, services and primary income (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Imports of goods, services and primary income is the sum of goods imports, service imports and primary income payments. Data are in current U.S. dollars.",Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,,
19,DT.TDS.MLAT.PG.ZS,DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service),Multilateral debt service,% of public and publicly guaranteed debt service,DT.TDS.MLAT.PG.ZS,Weighted average,,Multilateral debt service (% of public and publicly guaranteed debt service),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Multilateral debt service is the repayment of principal and interest to the World Bank, regional development banks, and other multilateral agencies. public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,,"Multilateral debt service is the repayment of principal and interest to the World Bank, regional development banks, and other multilateral agencies."
20,DT.TDS.MLAT.CD,DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",Multilateral debt service,"TDS, current US$",DT.TDS.MLAT.CD,Sum,,"Multilateral debt service (TDS, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt service,,,,International Debt Statistics,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars."
21,DT.NFL.BLAT.CD,DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)","Net financial flows, bilateral","NFL, current US$",DT.NFL.BLAT.CD,Sum,,"Net financial flows, bilateral (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,Data show concessional and nonconcessional financial flows from official bilateral sources. The Organisation for Economic Co-operation and Development's (OECD) Development Assistance Committee (DAC) defines concessional flows from bilateral donors as flows with a grant element of at least 25 percent; they are evaluated assuming a 10 percent nominal discount rate.,International Debt Statistics,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars."
22,DT.NFL.MIBR.CD,DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)","Net financial flows, IBRD","NFL, current US$",DT.NFL.MIBR.CD,Sum,,"Net financial flows, IBRD (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IBRD is the International Bank for Reconstruction and Development, the founding and largest member of the World Bank Group. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,"The World Bank's International Bank for Reconstruction and Development (IBRD) lends to creditworthy countries at a variable base rate of six-month LIBOR plus a spread, either variable or fixed, for the life of the loan. The rate is reset every six months and applies to the interest period beginning on that date.",International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IBRD is the International Bank for Reconstruction and Development, the founding and largest member of the World Bank Group. Data are in current U.S. dollars."
23,DT.NFL.MIDA.CD,DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)","Net financial flows, IDA","NFL, current US$",DT.NFL.MIDA.CD,Sum,,"Net financial flows, IDA (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IDA is the International Development Association, the concessional loan window of the World Bank Group. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,World Bank concessional lending is done by the International Development Association (IDA) based on gross national income (GNI) per capita and performance standards assessed by World Bank staff.,International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IDA is the International Development Association, the concessional loan window of the World Bank Group. Data are in current U.S. dollars."
24,DT.NFL.IMFC.CD,DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)","Net financial flows, IMF concessional","NFL, current US$",DT.NFL.IMFC.CD,Sum,,"Net financial flows, IMF concessional (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides concessional lending through the Poverty Reduction and Growth Facility and the IMF Trust Fund. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,"The International Monetary Fund (IMF) makes concessional funds available through its Extended Credit Facility (which replaced the Poverty Reduction and Growth Facility in 2010), the Standby Credit Facility, and the Rapid Credit Facility. Eligibility is based principally on a country's per capita income and eligibility under IDA.",International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides concessional lending through the Poverty Reduction and Growth Facility and the IMF Trust Fund. Data are in current U.S. dollars."
25,DT.NFL.IMFN.CD,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)","Net financial flows, IMF nonconcessional","NFL, current US$",DT.NFL.IMFN.CD,Sum,,"Net financial flows, IMF nonconcessional (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides nonconcessional lending through the credit it provides to its members, mainly to meet balance of payments needs. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,"Nonconcessional lending from the IMF is provided mainly through Stand-by Arrangements, the Flexible Credit Line, and the Extended Fund Facility.",International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides nonconcessional lending through the credit it provides to its members, mainly to meet balance of payments needs. Data are in current U.S. dollars."
26,DT.NFL.MLAT.CD,DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)","Net financial flows, multilateral","NFL, current US$",DT.NFL.MLAT.CD,Sum,,"Net financial flows, multilateral (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,"Data show concessional and nonconcessional financial flows from international financial institutions. International financial institutions fund nonconcessional lending operations primarily by selling low-interest, highly rated bonds backed by prudent lending and financial policies and the strong financial support of their members. Funds are then on-lent to developing countries at slightly higher interest rates with 15- to 20-year maturities. Lending terms vary with market conditions and institutional policies. Concessional flows from international financial institutions are credits provided through concessional lending facilities. Subsidies from donors or other resources reduce the cost of these loans. Grants are not included in net flows.",International Debt Statistics,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars."
27,DT.NFL.MOTH.CD,DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)","Net financial flows, others","NFL, current US$",DT.NFL.MOTH.CD,Sum,,"Net financial flows, others (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Others is a residual category in the World Bank's Debtor Reporting System. It includes such institutions as the Caribbean Development Fund, Council of Europe, European Development Fund, Islamic Development Bank, Nordic Development Fund, and the like. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,,International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Others is a residual category in the World Bank's Debtor Reporting System. It includes such institutions as the Caribbean Development Fund, Council of Europe, European Development Fund, Islamic Development Bank, Nordic Development Fund, and the like. Data are in current U.S. dollars."
28,DT.NFL.RDBC.CD,DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)","Net financial flows, RDB concessional","NFL, current US$",DT.NFL.RDBC.CD,Sum,,"Net financial flows, RDB concessional (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Concessional financial flows cover disbursements made through concessional lending facilities. Regional development banks are the African Development Bank, in Tunis, Tunisia, which serves all of Africa, including North Africa; the Asian Development Bank, in Manila, Philippines, which serves South and Central Asia and East Asia and Pacific; the European Bank for Reconstruction and Development, in London, United Kingdom, which serves Europe and Central Asia; and the Inter-American Development Bank, in Washington, D.C., which serves the Americas. Aggregates include amounts for economies not specified elsewhere. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,Regional development banks also maintain concessional windows. Their loans are recorded according to each institution's classification and not according to the Organisation for Economic Co-operation and Development's (OECD) Development Assistance Committee (DAC) definition.,International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Concessional financial flows cover disbursements made through concessional lending facilities. Regional development banks are the African Development Bank, in Tunis, Tunisia, which serves all of Africa, including North Africa; the Asian Development Bank, in Manila, Philippines, which serves South and Central Asia and East Asia and Pacific; the European Bank for Reconstruction and Development, in London, United Kingdom, which serves Europe and Central Asia; and the Inter-American Development Bank, in Washington, D.C., which serves the Americas. Aggregates include amounts for economies not specified elsewhere. Data are in current U.S. dollars."
29,DT.NFL.RDBN.CD,DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)","Net financial flows, RDB nonconcessional","NFL, current US$",DT.NFL.RDBN.CD,Sum,,"Net financial flows, RDB nonconcessional (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Nonconcessional financial flows cover all disbursements except those made through concessional lending facilities. Regional development banks are the African Development Bank, in Tunis, Tunisia, which serves all of Africa, including North Africa; the Asian Development Bank, in Manila, Philippines, which serves South and Central Asia and East Asia and Pacific; the European Bank for Reconstruction and Development, in London, United Kingdom, which serves Europe and Central Asia; and the Inter-American Development Bank, in Washington, D.C., which serves the Americas. Aggregates include amounts for economies not specified elsewhere. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,,International Debt Statistics,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Nonconcessional financial flows cover all disbursements except those made through concessional lending facilities. Regional development banks are the African Development Bank, in Tunis, Tunisia, which serves all of Africa, including North Africa; the Asian Development Bank, in Manila, Philippines, which serves South and Central Asia and East Asia and Pacific; the European Bank for Reconstruction and Development, in London, United Kingdom, which serves Europe and Central Asia; and the Inter-American Development Bank, in Washington, D.C., which serves the Americas. Aggregates include amounts for economies not specified elsewhere. Data are in current U.S. dollars."
30,DT.NFL.DPNG.CD,DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","Net flows on external debt, private nonguaranteed",PNG,DT.NFL.DPNG.CD,Sum,,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net flows,,,,International Debt Statistics,"Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
