,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,Generalcomments,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Previous_Indicator_Name,Notesfromoriginalsource,Shortdefinition,Othernotes,DataQuality,Derivationmethod,Otherweblinks,Unitofmeasure
58,SH.STA.SUIC.P5,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",Suicide mortality rate,"per 100,000 population",SH.STA.SUIC.P5,Weighted average,,This is the Sustainable Development Goal indicator 3.4.2[https://unstats.un.org/sdgs/metadata/].,"Suicide mortality rate (per 100,000 population)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted).",Annual,"World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",,Health: Mortality,,,,,,,,
59,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,"Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female","per 100,000 female population",SH.STA.SUIC.FE.P5,Weighted average,,This is a sex-disaggregated indicator for Sustainable Development Goal 3.4.2[https://unstats.un.org/sdgs/metadata/].,"Suicide mortality rate, female (per 100,000 female population)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted).",Annual,"World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",,Health: Mortality,,,,,,,,
60,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,"Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male","per 100,000 male population",SH.STA.SUIC.MA.P5,Weighted average,,This is a sex-disaggregated indicator for Sustainable Development Goal 3.4.2[https://unstats.un.org/sdgs/metadata/].,"Suicide mortality rate, male (per 100,000 male population)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted).",Annual,"World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",,Health: Mortality,,,,,,,,
61,SH.MLR.NETS.ZS,SH.MLR.NETS.ZS,Use of insecticide-treated bed nets (% of under-5 population),Use of insecticide-treated bed nets,% of under-5 population,SH.MLR.NETS.ZS,Weighted average,,,Use of insecticide-treated bed nets (% of under-5 population),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Use of insecticide-treated bed nets refers to the percentage of children under age five who slept under an insecticide-treated bednet to prevent malaria.,Annual,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys.","Malaria is endemic to the poorest countries in the world, mainly in tropical and subtropical regions of Africa, Asia, and the Americas. Insecticide-treated nets, properly used and maintained, are one of the most important malaria-preventive strategies to limit human-mosquito contact.",Health: Disease prevention,,,,,,,,
62,SN.ITK.VITA.ZS,SN.ITK.VITA.ZS,Vitamin A supplementation coverage rate (% of children ages 6-59 months),Vitamin A supplementation coverage rate,% of children ages 6-59 months,SN.ITK.VITA.ZS,Weighted average,,"Vitamin A is essential for optimal functioning of the immune system. Vitamin A deficiency, a leading cause of blindness, also causes a greater risk of dying from a range of childhood ailments such as measles, malaria, and diarrhea. In low- and middle-income countries, where vitamin A is consumed largely in fruits and vegetables, daily per capita intake is often insufficient to meet dietary requirements. Providing young children with two high-dose vitamin A capsules a year is a safe, cost-effective, efficient strategy for eliminating vitamin A deficiency and improving child survival. Giving vitamin A to new breastfeeding mothers helps protect their children during the first few months of life. Food fortification with vitamin A is being introduced in many developing countries.",Vitamin A supplementation coverage rate (% of children ages 6-59 months),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Vitamin A supplementation refers to the percentage of children ages 6-59 months old who received at least two doses of vitamin A in the previous year.,Annual,"UNICEF global databases, based on administrative reports from countries (link: https://data.unicef.org/topic/nutrition/vitamin-a-deficiency/)",,Health: Nutrition,,,,,,,,
63,SP.M15.2024.FE.ZS,SP.M15.2024.FE.ZS,Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 15,% of women ages 20-24,SP.M15.2024.FE.ZS,,"Although the legal age of marriage is defined as 18 years in most countries, the practice of child marriage remains widespread.  A women’s access to education and later her employment opportunities as well as the nature and terms of her work are often compromised by this practice.  Young married girls whose schooling is cut short often lack the knowledge and skills for formal work and are limited to occupations with lower incomes and inferior working conditions.  Sustainable Development Goal 5 commits to eliminate the practice of child marriage.",This is the Sustainable Development Goal indicator 5.3.1[https://unstats.un.org/sdgs/metadata/].,Women who were first married by age 15 (% of women ages 20-24),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Women who were first married by age 15 refers to the percentage of women ages 20-24 who were first married by age 15.,,"UNICEF Data; Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), AIDS Indicator Surveys(AIS), Reproductive Health Survey(RHS), and other household surveys.",,Gender: Agency,,,,,,,,
64,SH.HIV.PMTC.ZS,SH.HIV.PMTC.ZS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),Antiretroviral therapy coverage for PMTCT,% of pregnant women living with HIV,SH.HIV.PMTC.ZS,Weighted average,,,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Percentage of pregnant women with HIV who receive antiretroviral medicine for prevention of mother-to-child transmission (PMTCT).,Annual,UNAIDS estimates.,,Health: Risk factors,,,,,,,,
65,SH.STA.BRTC.ZS,SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total),Births attended by skilled health staff,% of total,SH.STA.BRTC.ZS,Weighted average,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

The share of births attended by skilled health staff is an indicator of a health system's ability to provide adequate care for pregnant women.","Assistance by trained professionals during birth reduces the incidence of maternal deaths during childbirth. The share of births attended by skilled health staff is an indicator of a health system’s ability to provide adequate care for pregnant women.

This is the Sustainable Development Goal indicator 3.1.2[https://unstats.un.org/sdgs/metadata/].",Births attended by skilled health staff (% of total),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"For the indicators that are from household surveys, the year refers to the survey year. For more information, consult the original sources.","Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.",Annual,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys.",,Health: Reproductive health,,,,,,,,
66,SH.DTH.COMM.ZS,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions",% of total,SH.DTH.COMM.ZS,Weighted average,,,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.","Cause of death refers to the share of all deaths for all ages by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.",Annual,"Derived based on the data from Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020. Link: https://www.who.int/data/gho/data/themes/mortality-and-global-health-estimates/ghe-leading-causes-of-death","Data on cause of death are compiled by the WHO, based mainly on data from national vital registry systems, as well as sample registration systems, population laboratories, and epidemiological analysis of specific conditions. Data are classified based on the International Statistical Classification of Diseases and Related Health Problems, 10th revision. Data have been carefully analyzed to take into account incomplete coverage of vital registration and the likely differences in cause of death patterns that would be expected in undercovered and often poorer subpopulations. Special attention has also been paid to misattribution or miscoding of causes of death in cardiovascular diseases, cancer, injuries, and general ill-defined categories. For further information, consult the original source.",Health: Risk factors,,,,,,,,
67,SH.HIV.0014,SH.HIV.0014,Children (0-14) living with HIV,Children,0-14,SH.HIV.0014,,,,Children (0-14) living with HIV,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Children living with HIV refers to the number of children ages 0-14 who are infected with HIV.,Annual,UNAIDS estimates.,,Health: Risk factors,,,,,,,,
68,SP.REG.BRTH.ZS,SP.REG.BRTH.ZS,Completeness of birth registration (%),Completeness of birth registration,%,SP.REG.BRTH.ZS,Weighted average,"Society typically first acknowledges a child’s existence and identity through birth registration. The right to be recognized as a person before the law is a critical step in ensuring lifelong protection and is a prerequisite for exercising all other rights. A birth certificate, issued following birth registration, is an important identity document for children. Birth registration also serves a statistical purpose. Universal birth registration is an essential part of a system of vital statistics, which tracks the major milestones in a person’s life - from birth to marriage and death. Such data are essential for planning and implementing development policies and programs, particularly in health, education, housing, water and sanitation, employment, agriculture and industrial production. The proportion of children under 5 years of age whose births have been registered with a civil authority is the official indicator for SDG Target 16.9, which sets out to “By 2030, provide legal identity for all, including birth registration”.",This is the Sustainable Development Goal indicator 16.9.1 [https://unstats.un.org/sdgs/metadata/].,Completeness of birth registration (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data on the prevalence of birth registration is collected mainly through censuses, civil registration systems (CRVS) and household surveys. Civil registration systems that are functioning effectively compile vital statistics that are used to compare the estimated total number of births in a country with the absolute number of registered births during a given period. However, the systematic recording of births in many countries remains a serious challenge. In the absence of reliable administrative data, household surveys have become a key source of data to monitor levels and trends in birth registration. In most low- and middle-income countries, such surveys represent the sole source of this information.

Substantial differences can exist between CRVS coverage and birth registration levels as captured by household surveys. The differences are primarily because data from CRVS typically refer to the percentage of all births that have been registered (often within a specific timeframe) whereas household surveys often represent the percentage of children under age five whose births are registered. The latter (the level of registration among children under 5) is specified in the SDG indicator (16.9).",Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,Annual,Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,"Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Birth registration estimates are primarily drawn from nationally representative household surveys such as the Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). Other data sources include other national surveys, censuses and vital statistics from civil registration systems, and estimated coverage of birth registration within national civil registration systems from the United Nations Statistics Division (UNSD).",Health: Population: Dynamics,,,,,,,,
69,SP.REG.DTHS.ZS,SP.REG.DTHS.ZS,Completeness of death registration with cause-of-death information (%),Completeness of death registration with cause-of-death information,%,SP.REG.DTHS.ZS,Weighted average,,,Completeness of death registration with cause-of-death information (%),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Completeness of death registration is the estimated percentage of deaths that are registered with their cause of death information in the vital registration system of a country.,Annual,"World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/gho/data/node.main.1?lang=en).",,Health: Population: Dynamics,,,,,,,,
70,SH.CON.1524.FE.ZS,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)","Condom use, population ages 15-24, female",% of females ages 15-24,SH.CON.1524.FE.ZS,Weighted average,,,"Condom use, population ages 15-24, female (% of females ages 15-24)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Condom use, female is the percentage of the female population ages 15-24 who used a condom at last intercourse in the last 12 months.",Annual,"Demographic and Health Surveys, and UNAIDS.",,Health: Disease prevention,,,,,,,,
71,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),Current health expenditure,% of GDP,SH.XPD.CHEX.GD.ZS,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,Current health expenditure (% of GDP),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Level of current health expenditure expressed as a percentage of GDP.  Estimates of current health expenditures include healthcare goods and services consumed during each year. This indicator does not include capital health expenditures such as buildings, machinery, IT and stocks of vaccines for emergency or outbreaks.",Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
72,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),Current health expenditure per capita,current US$,SH.XPD.CHEX.PC.CD,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,Current health expenditure per capita (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Current expenditures on health per capita in current US dollars. Estimates of current health expenditures include healthcare goods and services consumed during each year.,Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
73,SP.DYN.CDRT.IN,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)","Death rate, crude","per 1,000 people",SP.DYN.CDRT.IN,Weighted average,"The crude mortality rate is a good indicator of the general health status of a geographic area or population. The crude death rate is not appropriate for comparison of different populations or areas with large differences in age-distributions. Higher crude death rates can be found in some developed countries, despite high life expectancy, because typically these countries have a much higher proportion of older people, due to lower recent birth rates and lower age-specific mortality rates.",,"Death rate, crude (per 1,000 people)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.",Annual,"(1) United Nations Population Division. World Population Prospects: 2022 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.","The crude death rate is calculated as the number of deaths in a given period divided by the population exposed to risk of death in that period. For human populations the period is usually one year and, if the population changes in size over the year, the divisor is taken as the population at the mid-year. The rate is usually expressed in terms of 1,000 people: for example, a crude death rate of 9.5 (per 1000 people) in a population of 1 million would imply 9500 deaths per year in the entire population. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.

Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.",Health: Population: Dynamics,,,"Crude death rate indicates the number of deaths per 1,000 midyear population.",,,,,
74,SH.XPD.GHED.CH.ZS,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),Domestic general government health expenditure,% of current health expenditure,SH.XPD.GHED.CH.ZS,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,Domestic general government health expenditure (% of current health expenditure),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Share of current health expenditures funded from domestic public sources for health.  Domestic public sources include domestic revenue as internal transfers and grants, transfers, subsidies to voluntary health insurance beneficiaries, non-profit institutions serving households (NPISH) or enterprise financing schemes as well as compulsory prepayment and social health insurance contributions. They do not include external resources spent by governments on health.",Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
75,SH.XPD.GHED.GE.ZS,SH.XPD.GHED.GE.ZS,Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure,% of general government expenditure,SH.XPD.GHED.GE.ZS,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,Domestic general government health expenditure (% of general government expenditure),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Public expenditure on health from domestic sources as a share of total public expenditure.  It indicates the priority of the government to spend on health from own domestic public resources.,Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
76,SH.XPD.GHED.PP.CD,SH.XPD.GHED.PP.CD,"Domestic general government health expenditure per capita, PPP (current international $)","Domestic general government health expenditure per capita, PPP",current international $,SH.XPD.GHED.PP.CD,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,"Domestic general government health expenditure per capita, PPP (current international $)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Public expenditure on health from domestic sources per capita expressed in international dollars at purchasing power parity.,Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization (WHO) under the framework of the System of Health Accounts 2011 (SHA 2011). The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making. WHO converted the expenditure data using PPP time series extracted from WDI (based on ICP 2017) and OECD data. Where WDI/OECD data were not available, IMF or WHO estimates were utilized. Detailed metadata are available at <https://apps.who.int/nha/database/Select/Indicators/en>.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
77,SH.XPD.EHEX.CH.ZS,SH.XPD.EHEX.CH.ZS,External health expenditure (% of current health expenditure),External health expenditure,% of current health expenditure,SH.XPD.EHEX.CH.ZS,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,External health expenditure (% of current health expenditure),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Share of current health expenditures funded from external sources. External sources compose of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country. External sources either flow through the government scheme or are channeled through non-governmental organizations or other schemes.,Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
78,SH.XPD.EHEX.PC.CD,SH.XPD.EHEX.PC.CD,External health expenditure per capita (current US$),External health expenditure per capita,current US$,SH.XPD.EHEX.PC.CD,Weighted average,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,External health expenditure per capita (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Current external expenditures on health per capita expressed in current US dollars. External sources are composed of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country.,Annual,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on April 7, 2023.","The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.",Health: Health systems,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,,,,,,
79,SH.IMM.IDPT,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT",% of children ages 12-23 months,SH.IMM.IDPT,Weighted average,"Immunization is one of the most cost-effective public health interventions, and ??is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",This is the Sustainable Development Goal indicator 3.b.1 [https://unstats.un.org/sdgs/metadata/].,"Immunization, DPT (% of children ages 12-23 months)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,In many developing countries a lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,"Child immunization, DPT, measures the percentage of children ages 12-23 months who received DPT vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against diphtheria, pertussis (or whooping cough), and tetanus (DPT) after receiving three doses of vaccine.",Annual,WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.

Notes on regional and global aggregates: When the vaccine is not introduced in a national immunization schedule, the missing value is assumed zero (or close to zero) in the relevant groups' averages.",Health: Disease prevention,,,,,,,,
