column,description,source,title,units,notes
co2_including_luc,"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change (million tonnes)",million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_including_luc_growth_abs,"Annual growth in total production-based emissions of carbon dioxide (CO₂), including land-use change, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Annual growth in total production-based emissions of carbon dioxide (CO₂), including land-use change (million tonnes)",million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_including_luc_growth_prct,"Annual percentage growth in total production-based emissions of carbon dioxide (CO₂), including land-use change. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Annual percentage growth in total production-based emissions of carbon dioxide (CO₂), including land-use change (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_including_luc_per_capita,"Annual production-based emissions of carbon dioxide (CO₂), including land-use change, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),"Annual production-based emissions of carbon dioxide (CO₂), including land-use change (tonnes per person)",tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_including_luc_per_gdp,"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change, measured in kilograms per dollar of GDP (2011 international-$). Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods.","Global Carbon Budget (2022); Maddison Project Database 2020 (Bolt and van Zanden, 2020)","Annual total production-based emissions of carbon dioxide (CO₂), including land-use change (kilograms per dollar of gdp (2011 international-$))",kilograms per dollar of gdp (2011 international-$),"Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_including_luc_per_unit_energy,"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change, measured in kilograms per kilowatt-hour of primary energy consumption. Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); U.S. Energy Information Administration (EIA); Energy Institute Statistical Review of World Energy (2023),"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change (kilograms per kilowatt-hour of primary energy consumption)",kilograms per kilowatt-hour of primary energy consumption,"Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_per_capita,"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change (tonnes per person)",tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_per_gdp,"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured in kilograms per dollar of GDP (2011 international-$). Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods.","Global Carbon Budget (2022); Maddison Project Database 2020 (Bolt and van Zanden, 2020)","Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change (kilograms per dollar of gdp (2011 international-$))",kilograms per dollar of gdp (2011 international-$),"Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_per_unit_energy,"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured in kilograms per kilowatt-hour of primary energy consumption. Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); U.S. Energy Information Administration (EIA); Energy Institute Statistical Review of World Energy (2023),"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change (kilograms per kilowatt-hour of primary energy consumption)",kilograms per kilowatt-hour of primary energy consumption,"Production-based emissions are based on territorial emissions, which do not account for emissions embedded in traded goods."
coal_co2,"Annual production-based emissions of carbon dioxide (CO₂) from coal, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from coal (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
coal_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from coal, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from coal (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
consumption_co2,"Annual consumption-based emissions of carbon dioxide (CO₂), measured in million tonnes. Consumption-based emissions are national or regional emissions which have been adjusted for trade (i.e. territorial/production emissions minus emissions embedded in exports, plus emissions embedded in imports). If a country's consumption-based emissions are higher than its production emissions it is a net importer of carbon dioxide. Data has been converted by Our World in Data from million tonnes of carbon to million tonnes of CO₂ using a conversion factor of 3.664.",Global Carbon Budget (2022),Annual consumption-based emissions of carbon dioxide (CO₂) (million tonnes),million tonnes,Consumption-based emissions are national or regional emissions which have been adjusted for trade (i.e
consumption_co2_per_capita,"Annual consumption-based emissions of carbon dioxide (CO₂), measured in tonnes per person. Consumption-based emissions are national or regional emissions which have been adjusted for trade (i.e. territorial/production emissions minus emissions embedded in exports, plus emissions embedded in imports). If a country's consumption-based emissions are higher than its production emissions it is a net importer of carbon dioxide. Consumption-based CO₂ emissions have been converted by Our World in Data from tonnes of carbon to tonnes of CO₂ using a conversion factor of 3.664.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual consumption-based emissions of carbon dioxide (CO₂) (tonnes per person),tonnes per person,Consumption-based emissions are national or regional emissions which have been adjusted for trade (i.e
consumption_co2_per_gdp,"Annual consumption-based emissions of carbon dioxide (CO₂), measured in kilograms per dollar of GDP (2011 international-$). Consumption-based emissions are national or regional emissions which have been adjusted for trade (i.e. territorial/production emissions minus emissions embedded in exports, plus emissions embedded in imports). If a country's consumption-based emissions are higher than its production emissions it is a net importer of carbon dioxide. Consumption-based CO₂ emissions have been converted by Our World in Data from tonnes of carbon to tonnes of CO₂ using a conversion factor of 3.664.","Global Carbon Budget (2022); Maddison Project Database 2020 (Bolt and van Zanden, 2020)",Annual consumption-based emissions of carbon dioxide (CO₂) (kilograms per dollar of gdp (2011 international-$)),kilograms per dollar of gdp (2011 international-$),Consumption-based emissions are national or regional emissions which have been adjusted for trade (i.e
cumulative_cement_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from cement since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from cement since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_co2,"Total cumulative production-based emissions of carbon dioxide (CO₂), excluding land-use change, since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Total cumulative production-based emissions of carbon dioxide (CO₂), excluding land-use change, since the first year of data availability (million tonnes)",million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_co2_including_luc,"Total cumulative production-based emissions of carbon dioxide (CO₂), including land-use change, since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Total cumulative production-based emissions of carbon dioxide (CO₂), including land-use change, since the first year of data availability (million tonnes)",million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_coal_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from coal since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from coal since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_flaring_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from flaring since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from flaring since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_gas_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from gas since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from gas since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_luc_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from land-use change since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from land-use change since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_oil_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from oil since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from oil since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cumulative_other_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from other industry sources since the first year of data availability, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Cumulative production-based emissions of carbon dioxide (CO₂) from other industry sources since the first year of data availability (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
energy_per_capita,"Primary energy consumption per capita, measured in kilowatt-hours per person per year.",U.S. Energy Information Administration (EIA); Energy Institute Statistical Review of World Energy (2023); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Primary energy consumption per capita (kilowatt-hours per person per year),kilowatt-hours per person per year,
energy_per_gdp,"Primary energy consumption per unit of gross domestic product, measured in kilowatt-hours per international-$.","U.S. Energy Information Administration (EIA); Energy Institute Statistical Review of World Energy (2023); Maddison Project Database 2020 (Bolt and van Zanden, 2020)",Primary energy consumption per unit of gross domestic product (kilowatt-hours per international-$),kilowatt-hours per international-$,
flaring_co2,"Annual production-based emissions of carbon dioxide (CO₂) from flaring, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from flaring (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
flaring_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from flaring, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from flaring (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
gas_co2,"Annual production-based emissions of carbon dioxide (CO₂) from gas, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from gas (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
gas_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from gas, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from gas (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
ghg_excluding_lucf_per_capita,"Total greenhouse gas emissions excluding land-use change and forestry, measured in tonnes of carbon dioxide-equivalents per capita.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total greenhouse gas emissions excluding land-use change and forestry (tonnes of carbon dioxide-equivalents per capita),tonnes of carbon dioxide-equivalents per capita,
ghg_per_capita,"Total greenhouse gas emissions including land-use change and forestry, measured in tonnes of carbon dioxide-equivalents per capita.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total greenhouse gas emissions including land-use change and forestry (tonnes of carbon dioxide-equivalents per capita),tonnes of carbon dioxide-equivalents per capita,
land_use_change_co2,"Annual production-based emissions of carbon dioxide (CO₂) from land-use change, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from land-use change (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
land_use_change_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from land-use change, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from land-use change (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
methane,"Total methane emissions including land-use change and forestry, measured in million tonnes of carbon dioxide-equivalents.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total methane emissions including land-use change and forestry (million tonnes of carbon dioxide-equivalents),million tonnes of carbon dioxide-equivalents,
methane_per_capita,"Total methane emissions including land-use change and forestry, measured in tonnes of carbon dioxide-equivalents per capita.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total methane emissions including land-use change and forestry (tonnes of carbon dioxide-equivalents per capita),tonnes of carbon dioxide-equivalents per capita,
nitrous_oxide,"Total nitrous oxide emissions including land-use change and forestry, measured in million tonnes of carbon dioxide-equivalents.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total nitrous oxide emissions including land-use change and forestry (million tonnes of carbon dioxide-equivalents),million tonnes of carbon dioxide-equivalents,
nitrous_oxide_per_capita,"Total nitrous oxide emissions including land-use change and forestry, measured in tonnes of carbon dioxide-equivalents per capita.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total nitrous oxide emissions including land-use change and forestry (tonnes of carbon dioxide-equivalents per capita),tonnes of carbon dioxide-equivalents per capita,
oil_co2,"Annual production-based emissions of carbon dioxide (CO₂) from oil, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from oil (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
oil_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from oil, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from oil (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
other_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from other industry sources, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from other industry sources (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
other_industry_co2,"Annual production-based emissions of carbon dioxide (CO₂) from other industry sources, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from other industry sources (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
primary_energy_consumption,"Primary energy consumption, measured in terawatt-hours per year.",U.S. Energy Information Administration (EIA); Energy Institute Statistical Review of World Energy (2023),Primary energy consumption (terawatt-hours per year),terawatt-hours per year,
share_global_cement_co2,"Annual production-based emissions of carbon dioxide (CO₂) from cement, measured as a percentage of global production-based emissions of CO₂ from cement in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from cement has been calculated by Our World in Data using global CO₂ emissions from cement provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from cement, measured as a percentage of global production-based emissions of CO₂ from cement in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_co2,"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured as a percentage of global production-based emissions of CO₂ in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions has been calculated by Our World in Data using global CO₂ emissions provided in the Global Carbon Budget dataset. Global emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured as a percentage of global production-based emissions of CO₂ in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_co2_including_luc,"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change, measured as a percentage of global total production-based emissions of CO₂ in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions has been calculated by Our World in Data using global CO₂ emissions provided in the Global Carbon Budget dataset. Global emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Annual total production-based emissions of carbon dioxide (CO₂), including land-use change, measured as a percentage of global total production-based emissions of CO₂ in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_coal_co2,"Annual production-based emissions of carbon dioxide (CO₂) from coal, measured as a percentage of global production-based emissions of CO₂ from coal in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from coal has been calculated by Our World in Data using global CO₂ emissions from coal provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from coal, measured as a percentage of global production-based emissions of CO₂ from coal in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_cement_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from cement since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from cement since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from cement has been calculated by Our World in Data using global CO₂ emissions from cement provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from cement since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from cement since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_co2,"Total cumulative production-based emissions of carbon dioxide (CO₂), excluding land-use change, since the first year of data availability, measured as a percentage of global total cumulative production-based emissions of CO₂ since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions has been calculated by Our World in Data using global CO₂ emissions provided in the Global Carbon Budget dataset. Global emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Total cumulative production-based emissions of carbon dioxide (CO₂), excluding land-use change, since the first year of data availability, measured as a percentage of global total cumulative production-based emissions of CO₂ since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_co2_including_luc,"Total cumulative production-based emissions of carbon dioxide (CO₂), including land-use change, since the first year of data availability, measured as a percentage of global total cumulative production-based emissions of CO₂ (including land-use change) since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions has been calculated by Our World in Data using global CO₂ emissions provided in the Global Carbon Budget dataset. Global emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Total cumulative production-based emissions of carbon dioxide (CO₂), including land-use change, since the first year of data availability, measured as a percentage of global total cumulative production-based emissions of CO₂ (including land-use change) since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_coal_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from coal since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from coal since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from coal has been calculated by Our World in Data using global CO₂ emissions from coal provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from coal since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from coal since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_flaring_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from flaring since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from flaring since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from flaring has been calculated by Our World in Data using global CO₂ emissions from flaring provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from flaring since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from flaring since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_gas_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from gas since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from gas since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from gas has been calculated by Our World in Data using global CO₂ emissions from gas provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from gas since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from gas since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_luc_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from land-use change since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from land-use chang since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions has been calculated by Our World in Data using global CO₂ emissions provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from land-use change since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from land-use chang since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_oil_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from oil since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from oil since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from oil has been calculated by Our World in Data using global CO₂ emissions from oil provided in the Global Carbon Budget dataset. Global oil emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from oil since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from oil since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_cumulative_other_co2,"Cumulative production-based emissions of carbon dioxide (CO₂) from other industry sources since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from other industry sources since the first year of data availability. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from other industry sources has been calculated by Our World in Data using global CO₂ emissions from other industry sources provided in the Global Carbon Budget dataset. Global emissions from other industry sources include all country emissions.",Global Carbon Budget (2022),"Cumulative production-based emissions of carbon dioxide (CO₂) from other industry sources since the first year of data availability, measured as a percentage of global cumulative production-based emissions of CO₂ from other industry sources since the first year of data availability (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_flaring_co2,"Annual production-based emissions of carbon dioxide (CO₂) from flaring, measured as a percentage of global production-based emissions of CO₂ from flaring in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from flaring has been calculated by Our World in Data using global CO₂ emissions from flaring provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from flaring, measured as a percentage of global production-based emissions of CO₂ from flaring in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_gas_co2,"Annual production-based emissions of carbon dioxide (CO₂) from gas, measured as a percentage of global production-based emissions of CO₂ from gas in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from gas has been calculated by Our World in Data using global CO₂ emissions from gas provided in the Global Carbon Budget dataset. Global gas emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from gas, measured as a percentage of global production-based emissions of CO₂ from gas in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
